id,I�O,zau-pf-kpf,si-ida,si-n,si-psc,zuj-zuj-kod-orig,zuj-nzuj,zuj-nuts4,zuj-nazev-nuts4,su-isk,su-ise,su-kpp,si-nu,si-nco,su-esa2010t,su-esa2010,si-tcd,si-cd,si-co,si-at,od,do,edited_by,lchange
1668350,61504483,112,327151906,Praha,14200,547051,Praha-Libuš,CZ0100,Praha,,,Neuvedeno,Na domovině,Libuš,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,1,651,1,,1568380121,0,,13/09/2019 15:08
1749453,40086399,101,313479775,Nymburk,28802,537004,Nymburk,CZ0208,Nymburk,,,Neuvedeno,Purkyňova,,Osoby samostatně výdělečně činné,14200,1,1676,3,,1568401211,0,,13/09/2019 21:00
1749452,44447469,101,335845664,Smiřice,50303,570877,Smiřice,CZ0521,Hradec Králové,,,Bez zaměstnanců,Nývltova,,Osoby samostatně výdělečně činné,14200,1,271,,,1568401211,0,,13/09/2019 21:00
1749451,44609400,101,330689091,Vysoká Pec,43111,563501,Vysoká Pec,CZ0422,Chomutov,,,Neuvedeno,,Pyšná,Osoby samostatně výdělečně činné,14200,1,117,,,1568401211,0,,13/09/2019 21:00
1749450,11348160,101,331245096,Olomouc,77900,500496,Olomouc,CZ0712,Olomouc,,,Neuvedeno,Polská,,Osoby samostatně výdělečně činné,14200,1,604,4,,1568401211,0,,13/09/2019 21:00
1422864,26716291,112,336519332,Praha,15000,500143,Praha 5,CZ0100,Praha,,,Neuvedeno,U Trojice,Smíchov,Nefinanční podniky soukromé národní,11002,1,1042,2,,1568379264,0,,13/09/2019 14:54
1028516,1442279,112,339631807,Karlovy Vary,36001,554961,Karlovy Vary,CZ0412,Karlovy Vary,,,25 - 49 zaměstnanců,Slovenská,,Nefinanční podniky soukromé pod zahraniční kontrolou,11003,1,477,5,,1568187167,0,,11/09/2019 09:32
1749449,63824469,101,330235420,Votice,25901,530905,Votice,CZ0201,Benešov,,,Neuvedeno,Wolkerova,,Osoby samostatně výdělečně činné,14200,1,742,,,1568401211,0,,13/09/2019 21:00
1749448,68534990,101,330947359,Bavorov,38773,550809,Bavorov,CZ0316,Strakonice,,,Neuvedeno,Nádražní,,Osoby samostatně výdělečně činné,14200,1,462,,,1568401210,0,,13/09/2019 21:00
1749447,68991321,101,330909111,Liberec,46014,556904,Liberec (nečleněné město),CZ0513,Liberec,,,Neuvedeno,Na Pískovně,Liberec XIV-Ruprechtice,Osoby samostatně výdělečně činné,14200,1,661,32,,1568401210,0,,13/09/2019 21:00
1361358,25714937,141,318728406,Říčany,25101,538728,Říčany,CZ0209,Praha-východ,,,Neuvedeno,Táborská,,Neziskové instituce sloužící domácnostem soukromé národní,15002,1,1685,47b,,1568379054,0,,13/09/2019 14:50
1006418,226611,641,304386028,Kroměříž,76701,588296,Kroměříž,CZ0721,Kroměříž,15000,Neziskové instituce sloužící domácnostem,100 - 199 zaměstnanců,Pilařova 3,,,,,,,,1568131275,0,,10/09/2019 18:01
1010202,335479,331,304635314,Praha 4,14000,500119,Praha 4,CZ0100,Praha,13130,Místní vládní instituce,100 - 199 zaměstnanců,Budějovická 680,,,,,,,,1568131283,0,,10/09/2019 18:01
1010207,335487,331,304243443,Praha 4,14087,500119,Praha 4,CZ0100,Praha,13130,Místní vládní instituce,100 - 199 zaměstnanců,Na Vítězné pláni 1160,,,,,,,,1568131283,0,,10/09/2019 18:01
1010208,335533,331,304458284,Praha 4,14503,500119,Praha 4,CZ0100,Praha,13130,Místní vládní instituce,50 - 99 zaměstnanců,Ohradní 55,,,,,,,,1568131283,0,,10/09/2019 18:01
1011580,401081,331,304243566,Ústí nad Orlicí,56201,579891,Ústí nad Orlicí,CZ0534,Ústí nad Orlicí,13130,Místní vládní instituce,100 - 199 zaměstnanců,T.G.Masaryka 106,,,,,,,,1568131359,0,,10/09/2019 18:02
1014537,474029,331,304386397,Neratovice,27711,535087,Neratovice,CZ0206,Mělník,13130,Místní vládní instituce,50 - 99 zaměstnanců,Masarykova 450,,,,,,,,1568131364,0,,10/09/2019 18:02
1017827,532525,641,304386456,Brno-střed,60200,550973,Brno-střed,CZ0642,Brno-město,15000,Neziskové instituce sloužící domácnostem,100 - 199 zaměstnanců,Barvičova 666/85,Stránice,,,,,,,1568131371,0,,10/09/2019 18:02
1749446,558974,331,338071986,Brno,61400,551031,Brno-sever,CZ0642,Brno-město,,,50 - 99 zaměstnanců,Elgartova,Husovice,Místní vládní instituce,13130,1,689,3,,1568401210,0,,13/09/2019 21:00
1749445,558982,331,338174006,Brno,63900,550973,Brno-střed,CZ0642,Brno-město,,,50 - 99 zaměstnanců,Vídeňská,Štýřice,Místní vládní instituce,13130,1,55,47,,1568401210,0,,13/09/2019 21:00
